|b'RT @Carter_PE: \xe2\x80\x9c...It is a truism that soldiers fight for one another. But they also crave the sense of larger purpose and support, and a p\xe2\x80\xa6'|,|Sentiment(polarity=0.0, subjectivity=0.5)|,|

|,|b'RT @MAGAPOWERED: Sorry, but bush by his own admission once stated that him and his partners were such big pieces of sht that "if the Americ\xe2\x80\xa6'|,|Sentiment(polarity=0.024999999999999994, subjectivity=0.65)|,|

|,|b'RT @NunkMasKKs: MI DOCUMENTO FINAL DEL #G20:\n\n\xe2\x9d\x8c "No pueden organizar un River Boca, menos un G20". SE PUDO.\n\xe2\x9d\x8c "El mundo se r\xc3\xade de Argentina\xe2\x80\xa6'|,|Sentiment(polarity=0.0, subjectivity=1.0)|,|

|,b'RT @VoiceofVietnam: @POTUS Trump May Reject G20 Draft Communique.  Another Failure for Xi Jinping.\n\n#Live #G20 #G20Summit #G20Argentina #Tr\xe2\x80\xa6',|Sentiment(polarity=-0.09015151515151518, subjectivity=0.4)|,|

|,|b'@ChocaholicBrit I hope they uncover the trail of the 19% sale of Rosneft, the Qatar connection &amp; how the money flow\xe2\x80\xa6 https://t.co/Mwk1LkqgeW'|,|Sentiment(polarity=0.0, subjectivity=0.0)|,|

|,b"RT @AaronBlake: New Cohen filing -- 3 takeaways:\n\n1) Trump knew Cohen was seeking help from Putin's office\n2) Cohen says he consulted with\xe2\x80\xa6",|Sentiment(polarity=0.13636363636363635, subjectivity=0.45454545454545453)|,|

|,|b'RT @jennycohn1: This is disturbing. Ken Blackwell (Ohio SOS during 04 election, member of Trump\xe2\x80\x99s election integrity commission) &amp; Tad DeVi\xe2\x80\xa6'|,|Sentiment(polarity=-0.5, subjectivity=0.8)|,|

|,b'RT @krassenstein: BREAKING: It was just voted on by a DC Neighborhood group to rename the road in front of the Saudi Arabian embassy after\xe2\x80\xa6',|Sentiment(polarity=0.0, subjectivity=0.0)|,|

|,b'RT @alexanderbruz: Only 19 of the #G20 countries agreed to support the Paris Climate Accord.\n\n@realDonaldTrump and the US was the 1 that re\xe2\x80\xa6',|Sentiment(polarity=0.0, subjectivity=1.0)|,|

|,b'RT @funder: Can you do me a favor? Can you retweet this? It\xe2\x80\x99s video I found of Trump saying he:\n\n1. Plans to build Trump Tower Moscow\n2. Is\xe2\x80\xa6',|Sentiment(polarity=0.0, subjectivity=0.0)|,|

|,b'RT @Rosary_Beadz: A thousand points of light...I thought it was brilliant!  If we all volunteer it would be millions of points of light. Th\xe2\x80\xa6',|Sentiment(polarity=0.7, subjectivity=0.85)|,|

|,b'RT @gspatton007: LEFT  LIB  GETS  TAKEN  DOWN  BY\nTRUMP  SUPPORTER\n\nDon\xe2\x80\x99t mess with TRUMPERS\n\n https://t.co/DUVf4VSQxc',|Sentiment(polarity=-0.1101851851851852, subjectivity=0.15462962962962964)|,|

|,|b'RT @julie_kelly2: This week, the same NeverTrump harpies who mock Trump and his supporters as witless rubes fell for a bogus NPR story on D\xe2\x80\xa6'|,|Sentiment(polarity=0.0, subjectivity=0.125)|,|

|,b'@politvidchannel Trudaeu used an important keyword "uncertainty" to explain quantum computing. Trump used "not so g\xe2\x80\xa6 https://t.co/1Nys2uIX7D',|Sentiment(polarity=0.4, subjectivity=1.0)|,|

|,b'RT @harjo111: I can not understand why we treat this Hero @GenFlynn like a criminal and the Traitors walk free.  This is the United States\xe2\x80\xa6',|Sentiment(polarity=0.0, subjectivity=0.675)|,|

|
